STATE,AIRPORT,AIRPORT_CITY,AIRPORT_ID,HUB1,HUB__ID1,HUB2,HUB_ID2,HUB3,HUB__ID3,HUB4,HUB__ID4,HUB5,HUB__ID5,HUB6,HUB__ID6,HUB7,HUB__ID7
Alaska,Anchorage (ANC),Anchorage ,ANC,Alaska Airlines,AS,,,,,,,,,,,,
California,Los Angeles (LAX),Los Angeles ,LAX,Alaska Airlines,AS,Allegiant Air ,G4,American Airlines,AA,Delta Air Lines,DL,JetBlue Airways ,B6,Southwest Airlines ,WN,United Airlines,UA
California,San Francisco (SFO),San Francisco ,SFO,Alaska Airlines,AS,United Airlines,UA,,,,,,,,,,
Oregon,Portland (PDX),Portland ,PDX,Alaska Airlines,AS,,,,,,,,,,,,
Washington,Seattle (SEA),Seattle ,SEA,Alaska Airlines,AS,Delta Air Lines,DL,,,,,,,,,,
California,San Diego (SAN),San Diego ,SAN,Alaska Airlines ,AS,,,,,,,,,,,,
California,San Jose (SJC),San Jose ,SJC,Alaska Airlines ,AS,,,,,,,,,,,,
Idaho,Boise (BOI),Boise ,BOI,Alaska Airlines ,AS,,,,,,,,,,,,
Arizona,Phoenix-Mesa (AZA),Phoenix-Mesa ,AZA,Allegiant Air ,G4,,,,,,,,,,,,
Florida,Fort Lauderdale (FLL),Fort Lauderdale ,FLL,Allegiant Air ,G4,JetBlue Airways ,B6,Spirit Airlines ,NK,,,,,,,,
Florida,Sanford (SFB),Sanford ,SFB,Allegiant Air ,G4,,,,,,,,,,,,
Florida,Fort Walton Beach (VPS),Fort Walton Beach ,VPS,Allegiant Air ,G4,,,,,,,,,,,,
Florida,Punta Gorda (PGD),Punta Gorda ,PGD,Allegiant Air ,G4,,,,,,,,,,,,
Florida,St. Petersburg (FL) (PIE),St. Petersburg,PIE,Allegiant Air ,G4,,,,,,,,,,,,
Georgia,Savannah (SAV),Savannah ,SAV,Allegiant Air ,G4,,,,,,,,,,,,
Indiana,Indianapolis (IND),Indianapolis ,IND,Allegiant Air ,G4,,,,,,,,,,,,
Iowa,Des Moines (DSM),Des Moines ,DSM,Allegiant Air ,G4,,,,,,,,,,,,
Kentucky,Cincinnati (CVG),Cincinnati ,CVG,Allegiant Air ,G4,Delta Air Lines,DL,,,,,,,,,,
Michigan,Flint (FNT),Flint ,FNT,Allegiant Air ,G4,,,,,,,,,,,,
Michigan,Grand Rapids (GRR),Grand Rapids ,GRR,Allegiant Air ,G4,,,,,,,,,,,,
Nevada,Las Vegas (LAS),Las Vegas ,LAS,Allegiant Air ,G4,Frontier Airlines ,F9,Southwest Airlines ,WN,Spirit Airlines ,NK,,,,,,
North Carolina,Asheville (AVL),Asheville ,AVL,Allegiant Air ,G4,,,,,,,,,,,,
Pennsylvania,Pittsburgh (PIT),Pittsburgh ,PIT,Allegiant Air ,G4,,,,,,,,,,,,
Pennsylvania,Allentown (ABE),Allentown ,ABE,Allegiant Air ,G4,,,,,,,,,,,,
Tennessee,Knoxville (TYS),Knoxville ,TYS,Allegiant Air ,G4,,,,,,,,,,,,
Tennessee,Nashville (BNA),Nashville ,BNA,Allegiant Air ,G4,Southwest Airlines ,WN,,,,,,,,,,
Texas,Austin (AUS),Austin ,AUS,Allegiant Air ,G4,,,,,,,,,,,,
Utah,Provo (PVU),Provo ,PVU,Allegiant Air ,G4,,,,,,,,,,,,
Washington,Bellingham (BLI),Bellingham ,BLI,Allegiant Air ,G4,,,,,,,,,,,,
Wisconsin,Appleton (ATW),Appleton ,ATW,Allegiant Air ,G4,,,,,,,,,,,,
Arizona,Phoenix-Sky Harbor (PHX),Phoenix-Sky Harbor ,PHX,American Airlines,AA,Frontier Airlines ,F9,Southwest Airlines ,WN,,,,,,,,
Florida,Miami (MIA),Miami ,MIA,American Airlines,AA,Frontier Airlines ,F9,Spirit Airlines ,NK,,,,,,,,
Illinois,Chicago-O'Hare (ORD),Chicago-O'Hare ,ORD,American Airlines,AA,Spirit Airlines ,NK,United Airlines,UA,,,,,,,,
New York,New York-JFK (JFK),New York-JFK ,JFK,American Airlines,AA,Delta Air Lines,DL,JetBlue Airways ,B6,,,,,,,,
New York,New York-LaGuardia (LGA),New York-LaGuardia ,LGA,American Airlines,AA,Delta Air Lines,DL,,,,,,,,,,
North Carolina,Charlotte (CLT),Charlotte ,CLT,American Airlines,AA,,,,,,,,,,,,
Pennsylvania,Philadelphia (PHL),Philadelphia ,PHL,American Airlines,AA,Frontier Airlines ,F9,,,,,,,,,,
Texas,Dallas/Fort Worth (DFW),Dallas/Fort Worth ,DFW,American Airlines,AA,Spirit Airlines ,NK,,,,,,,,,,
Virginia,Washington-Reagan (DCA),Washington-Reagan ,DCA,American Airlines,AA,,,,,,,,,,,,
Georgia,Atlanta (ATL),Atlanta ,ATL,Delta Air Lines,DL,Frontier Airlines ,F9,Southwest Airlines ,WN,Spirit Airlines ,NK,,,,,,
Massachusetts,Boston (BOS),Boston ,BOS,Delta Air Lines,DL,JetBlue Airways ,B6,,,,,,,,,,
Michigan,Detroit (DTW),Detroit ,DTW,Delta Air Lines,DL,Spirit Airlines ,NK,,,,,,,,,,
Minnesota,Minneapolis (MSP),Minneapolis ,MSP,Delta Air Lines,DL,,,,,,,,,,,,
Utah,Salt Lake City (SLC),Salt Lake City ,SLC,Delta Air Lines,DL,,,,,,,,,,,,
North Carolina,Raleigh (RDU),Raleigh ,RDU,Delta Air Lines,DL,,,,,,,,,,,,
Colorado,Denver (DEN),Denver ,DEN,Frontier Airlines,F9,Southwest Airlines ,WN,United Airlines,UA,,,,,,,,
Florida,Orlando (MCO),Orlando ,MCO,Frontier Airlines ,F9,JetBlue Airways ,B6,Southwest Airlines ,WN,Spirit Airlines ,NK,,,,,,
Florida,Tampa (TPA),Tampa ,TPA,Frontier Airlines ,F9,Southwest Airlines ,WN,,,,,,,,,,
Illinois,Chicago-Midway (MDW),Chicago-Midway ,MDW,Frontier Airlines ,F9,Southwest Airlines ,WN,,,,,,,,,,
New Jersey,Trenton (TTN),Trenton ,TTN,Frontier Airlines ,F9,,,,,,,,,,,,
Ohio,Cleveland (CLE),Cleveland ,CLE,Frontier Airlines ,F9,,,,,,,,,,,,
California,Oakland (OAK),Oakland ,OAK,Southwest Airlines ,WN,,,,,,,,,,,,
Maryland,Baltimore (BWI),Baltimore ,BWI,Southwest Airlines ,WN,,,,,,,,,,,,
Missouri,St. Louis (STL),St. Louis ,STL,Southwest Airlines ,WN,,,,,,,,,,,,
Texas,Dallas-Love Field (DAL),Dallas-Love Field ,DAL,Southwest Airlines ,WN,,,,,,,,,,,,
Texas,Houston-Hobby (HOU),Houston-Hobby ,HOU,Southwest Airlines ,WN,,,,,,,,,,,,
New Jersey,Atlantic City (ACY),Atlantic City ,ACY,Spirit Airlines ,NK,,,,,,,,,,,,
New Jersey,Newark (EWR),Newark ,EWR,United Airlines,UA,,,,,,,,,,,,
Texas,Houston-Intercontinental (IAH),Houston-Intercontinental ,IAH,United Airlines,UA,,,,,,,,,,,,
Virginia,Washington-Dulles (IAD),Washington-Dulles ,IAD,United Airlines,UA,,,,,,,,,,,,